English,Armenian
Old World monkeys,Հին աշխարհի կապիկներ
Operating systems,Օպերացիոն համակարգեր
Ophidiiformes,Օֆիդիֆորմես 
Optical instruments,Օպտիկական գործիքներ 
Optical technology,Օպտիկական տեխնոլոգիա
Optics,Օպտիկա
Orbital mechanics,Ուղեծրային մեխանիկա
Organelles,Օրգանոիդ 
Organic compounds,Օրգանական միացություններ 
Organists,Երգեհոնահար 
Organizations,Կազմակերպություններ 
Organizations,Կազմակերպություններ 
Organized crime groups,Կազմակերպված հանցավոր խմբեր 
Organometallics,
Orthodox Church,Ուղղափառ եկեղեցի 
Orthoptera,Օրթոպեդիա 
Osmeriformes,
Osteoglossiformes,
Other,Այլ
Other,Այլ
Other,Այլ
Other algebra topics,Հանրահաշվի այլ թեմաներ 
Other arts,Այլ արվեստ 
Other carnivora,Այլ գիշատիչներ 
Other components,Այլ բաղադրիչներ 
Other countries,Այլ երկրներ
Other culinary fruits,Այլ խոհարարական մրգեր
Other dance,Այլ պարեր
Other entertainment and fields,Այլ զվարճանքներ և ոլորտներ
Other even-toed ungulates,Այլ երկսմբակավորներ
Other games and plays,Այլ խաղեր
Other hydrological features,Ջրաբանական այլ երևույթներ
Other individual sports,Անհատական այլ սպորտաձևեր
Other individual sports (150/150 quota),Անհատական այլ սպորտաձևեր
Other leaders,Այլ ղեկավարներ
Other media,Այլ մեդիա
Other ministers,Այլ նախարարներ 
Other notable objects,Այլ նշանակալի առարկաներ
Other organisms,Այլ օրգանիզմներ
Other prehistoric reptiles,Նախապատմական այլ սողուններ
Other primates,Այլ պրիմատներ
Other racing types,Մրցարշավի այլ տեսակներ
Other religions,Այլ կրոններ
Other social sciences,Այլ հասարակական գիտություններ
Other team sports (55/55 quota),Թիմային այլ սպորտաձևեր
Other terrestrial features,Երկրային այլ երևույթներ
Other vegetables,Այլ բանջարեղեն
Others,Այլ
Ottoman classical,Օսմանյան դասական
Ottoman/Turkish,Օսմանյան/թուրքական
Outerwear,Արտահագուստ
Outsider art,Մարգինալացված արվեստ
Pac-12,Pac-12 
Pacific Islands,Խաղաղօվկիանոսյան կղզիներ
Pain treatments,Ցավի բուժում
Paintball,Փեյնթբոլ
Painting,Նկարչություն
Pakistan,Պակիստան
Paleoclimate,Պալեոկլիմա
Paleogeography,Պալեոաշխարհագրություն
Palestine,Պաղեստին
Panama,Պանամա
Pandanales,
Pantheism and nontheistic religions,Պանթեիզմ և ոչ թեիստական կրոններ
Panthera,Հովազ
Papal States,Պապական մարզեր
Paper art,Թղթարվեստ
Papua New Guinea,Պապուա Նոր Գվինեա
Paraguay,Պարագվայ
Paranormal,Պարանորմալ
Parkour,Պարկուր
"Parks, preserves, and World Heritage Sites","Պարկեր, արգելոցներ և Համաշխարհային ժառանգության վայրեր"
Particle physics,Տարրական մասնիկների ֆիզիկա
Passerida,Ճնճղուկներ
Passerines,Ճնճղուկանմաններ
Patrons and philanthropists,Հովանավորներ և բարերարներ
Pedagogues,Մանկավարժներ
Pedology,Մանկավարժություն
Pelecaniformes,Հավալուսնանմաններ
Peninsulas and capes,Թերակղզիներ և հրվանդաններ
Perciformes,Պերկեսազգիներ
Percussion instruments,Հարվածային գործիքներ
Percussionists,Հարվածային գործիքներ նվագող անձինք
Performance art,Փերֆորմանս
Performers,Կատարողներ
Performing arts,Կատարողական արվեստներ
"Persia, Parthia and Sogdia","Պարսկաստան, Պարթևստան և Սողդիանա"
Persian,Պարսկական
Persian languages,Պարսկական լեզուներ
Persian traditional,Պարսկական ավանդական
Peru,Պերու
Pest and disease control,Վնասատուների և հիվանդությունների վերահսկում
Pétanque,Պետանք
Petrology,Պետրոլոգիա
Pharmaceutical and medical companies,Դեղագործական և բժշկական ընկերություններ
Phase transitions,Փուլային անցումներ
Pheasants,Փասիաններ
Philippines,Ֆիլիպիններ
Philippines,Ֆիլիպիններ
Philosophers,Փիլիսոփաներ
"Philosophical branches, approaches and concepts","Փիլիսոփայական ուղղություններ, մոտեցումներ և հայեցակարգեր"
Philosophical schools and traditions,Փիլիսոփայական դպրոցներ և ավանդույթներ
Philosophy,Փիլիսոփայություն
Philosophy of language,Լեզվի փիլիսոփայություն
Philosophy of science,Գիտության փիլիսոփայություն
Photographers,Լուսանկարիչներ
Photographs,Լուսանկարներ
Physical constants,Ֆիզիկական հաստատուններ
Physical cosmology,Ֆիզիկական տիեզերագիտություն
Physics and astronomy,Ֆիզիկա և աստղագիտություն
Physics basics,Ֆիզիկայի հիմունքներ
Pianists,Դաշնակահարներ
Piciformes,Փայտփորանմաններ
Pigeons,Աղավնիներ
Pigs,Խոզեր
Pilosa,Թերատամնավորներ
Pinnipeds,Մաշկոտանիներ
Pinophyta (conifers),Մերկասերմեր
Planetary science,Մոլորակների գիտություն
Plant anatomy and morphology,Բույսերի անատոմիա և մորֆոլոգիա
Plant cells,Բույսի բջիջներ
Plant reproduction,Բույսերի վերարտադրությոն
Plant stem,Բույսի ցողուն
Plant tissues,Բուսական հյուսվածքներ
Plants,Բույսեր
Plants with edible fruit-like structures,Ուտելի մրգի նման կառուցվածքով բույսեր
Platyzoa,
Playwrights,Դրամատուրգներ
Pleuronectiformes,
Poales,Հացածաղկավորներ
Podcasts,Փոդքասթներ
Poetic works of antiquity,Հնագույն շրջանի բանաստեղծություններ
Poetic works of early printed book era,Վաղ տպագրական շրջանի բանաստեղծություններ
Poetic works of modern era,Մոդեռն շրջանի բանաստեղծություններ
Poetic works of the medieval era,Միջնադարյան շրջանի բանաստեղծություններ
Poetry,Պոեզիա
Poets,Բանաստեղծներ
Poisonous fungi,Թունավոր սունկ
Poland,Լեհաստան
Poland and Lithuania,Լեհաստան և Լիտվա
Polish,Լեհերեն
Political charters,Քաղաքական կանոնադրություններ
Political crimes/prisoners,Քաղաքական հանցագործություններ և քաղբանտարկյալներ
Political internationals,Քաղաքական ինտերնացիոնալներ
Political parties,Քաղաքական կուսակցություններ
Political scientists and writers,Քաղաքագետներ և գրողներ
Politics and government,Քաղաքականություն և կառավարություն
Politics of specific countries,Հատուկ երկրների քաղաքականություն
Polo,Պոլո
Polynesia,Պոլինեզիա
Polynesian mythology,Պոլինեզիական առասպելաբանություն
Polypteriformes,Բազմալողակավորներ
Pomes,Պալարապտղավորներ
Pop music,Փոփ երաժշտություն
Popes,Հռոմի պապեր
Popular music,Փոփ երաժշտություն
Porifera,Սպունգներ
Pornographic,Պոռնոգրաֆիական
Portable buildings and shelters,Շարժական շենքեր և ապաստարաններ
Portugal,Պորտուգալիա
Portuguese,Պորգտուգալերեն
Post-1945,1945 թվականից հետո
Post-2000,2000 թվականից հետո
Post-Hardcore and emo,Պոստ հարդքոր և էմո
Post-romantic/early modern,Հետռոմանտիկական/ վաղ մոդեռն
Power,Ուժ
Powerboat racing,Մոտորանավային մրցարշավ
Practices,Սովորույթներ
Pre-1960,1960 թվականից առաջ
Pre-modern,Նախամոդեռն
Pre-modern art,Նախամոդեռն արվեստ
Pre-modern figures,Նախամոդեռն անձինք
Pre-Schism,Սխիզմայից առաջ
Precipitation,Տեղումներ
Prehistoric and ancient art,Նախապատմական և հնագույն արվեստ
Prehistoric fish,Նախապատմական ձկներ
Prehistoric marine reptiles,Նախապատմական ծովային սողուններ
Prehistoric reptiles,Նախապատմական սողուններ
Prehistory,Նախապատմություն
Prehistory and ancient history,Նախապատմություն և հնագույն պատմություն
Presidents,Նախագահներ
Pressure,Ճնշում
Primates,Պրիմատներ
Prime Ministers,Վարչապետներ
Principalities,Իշխանություններ
Probability,Հավանականություն
Proboscidea,Կնճիթավորներ
Procellariiformes,Մրրկահավեր
Procyonidae,Ջրարջեր
Professional wrestling,Պրոֆեսիոնալ ըմբշամարտ
Professions,Մասնագիտություններ
Programming languages,Ծրագրավորման լեզուներ
Programs,Ծրագրեր
Programs and launch sites,Ծրագրեր և գործարկման կայքեր
Projectile weapons,Հրետանային զենքեր
Proteales,
Protective devices,Պաշտպանական սարքեր
Proteins,Սպիտակուցներ
Protestantism,Բողոքականություն
Provinces,Նահանգներ
"Prussia, Germany","Պրուսիա, Գերմանիա"
Pseudocereals,Պսևդոհացահատիկային մշակաբույս
Pseudolinguistics,Պսևդոլեզվաբանություն
Pseudoscience,Պսևդոգիտություն
Psittaciformes,Թութականմաններ
Psychologists,Հոգեբաններ
Psychology,Հոգեբանություն
Pteridophytes,Պտերներ
Pterosaurs,Թռչող թեփամորթներ
"Public relations, marketing and advertising theorists","Հանրային կապերի, մարքեթինգի և գովազդի տեսաբան"
Publishers and editors,Հրատարակիչներ և խմբագիրներ
Puerto Rico,Պուերտո Ռիկո
Pulses,Հատիկաընդեղեն բույսեր
Punk music,Փանկ երաժշտություն
Puppetry,Խամաճիկների թատրոն
Qatar,Կատար
Qawwali,Քավվալի
Quails,Լորեր
Quantum mechanics,Քվանտային մեխանիկա
Rabbits,Ճագարներ
Racing,Մրցավազք
Racquetball,Ռակետբոլ
Radio,Ռադիո
Radio and podcast hosts,Ռադիո և փոդքասթ հաղորդավարներ
Radio and television,Ռադիո և հեռուստատեսություն
Radio astronomy,Ռադիոաստղագիտություն
Rail operators,Երկաթուղային օպերատորներ
Rail transport,Երկաթուղի
Railway lines,Երկաթուղային գծեր 
Railway services,Երկաթուղային ծառայություններ
Ranunculales,Հրանունկ 
Rapid transit,Արագ տարանցում 
Ratio,Հարաբերակցություն 
Ratites,Ջայլամանմաններ
Reactions,Ռեակցիաներ
Real analysis,Իրական վերլուծություն 
"Rebels, revolutionaries and activists","Ապստամբներ, հեղափոխականներ և ակտիվիստներ "
Recreation,Ռեկրեացիա 
Recreation and tourism,Ռեկրեացիա և տուրիզմ 
Recreational drugs,Ռեկրեացիոն դեղեր 
Reference works,Տեղեկատու գրքեր
Reggae,Ռեգգի 
Regions and country subdivisions,Մարզեր և երկրի վարչատարածքային միավորներ
Religion and spirituality,Կրոն և հոգևորականություն 
Religious law,Կրոնական օրենք 
Religious music,Կրոնական երաժշտություն 
Religious philosophy,Կրոնական փիլիսոփայություն 
Renaissance,Վերածնունդ 
Renaissance and early modern era,Վերածնունդ և վաղ ժամանակակից դարաշրջան 
Renaissance art,Վերածննդի արվեստ
Renaissance to early modern era,Վերածննդից մինչև վաղ ժամանակակից դարաշրջան
Reproductive system,Վերարտադրողական համակարգ
Reptiles,Սողուններ 
Republic of Congo,Կոնգոյի Հանրապետություն 
Residential buildings and housing units,Բնակելի շինություններ և բնակարանային միավորներ 
Respiratory system,Շնչառական համակարգ 
Retail,Մանրածախ վաճառք 
Retailers,Մանրածախ վաճառողներ 
Rhizaria,Ռիզարիա
Rhodesia and Zimbabwe,Ռոդեզիա և Զիմբաբվե 
Rhynchocephalia,Կնճիթագլուխներ
Rights,Իրավունքներ
River deltas,Գետի դելտաներ 
Rivers,Գետեր
Rodents,Կրծողներ
Rodeo,Ռոդեո
Roller derby,Ռոլլեր դերբի 
Roller skating sports,Անվավոր չմուշկներով սպորտ
Rolling stock manufacturers,Երկաթուղային մեքենաշինություն
Roman deities and mythological people,Հռոմեական աստվածություններ և դիցաբանական կերպարներ 
Romance films,Ռոմանտիկ ֆիլմեր
Romance languages,Ռոմանական լեզուներ 
Romance novels,Ռոմանտիկ վեպեր
Romania,Ռումինիա
Romantic,Ռոմանտիկա 
Rooms and spaces,Սենյակներ և տարածքներ 
Root vegetables,Արմատապտուղներ
Rosales,Վարդազգիներ 
Rovers,Ռովերներ
Rowing and kayaking,Թիավարություն և կայակինգ
Royals,Թագավորական ընտանիքի ներկայացուցիչներ
Rugby (30/30 quota),Ռեքբի (30/30 քվոտա)
Rugby league,Ռեգբիի լիգա
Rugby union,Ռեքբիի միություն
Russell Group,Ռուսսել գրուպ
Russia,Ռուսաստան
Russia and Ukraine,Ռուսաստան և Ուկրաինա
Russia and USSR,Ռուսաստան և Խորհրդային Սոցիալիստական Հանրապետությունների Միություն
Russian,Ռուսերեն
S. Korea,Հարավային Կորեա
Sailing,Նավարկություն
Saint Kitts and Nevis,Սենտ Քիթս և Նևիս 
Saint Lucia,Սենթ Լյուսիա 
Saint Vincent and the Grenadines,Սենթ Վինսենթ և Գրենադիններ 
Salamanders and newts (6 articles)),Սալամանդրներ և տրիտոններ
Salmoniformes,Սաղմոնաձկներ
Samoa,Սամոա
Sapindales,Օճառածաղկավորներ
Satirical/Gossip,Երգիծանք/բամբասանք 
Saudi Arabia,Սաուդյան Արաբիա
Saxifragales,
Scandinavia,Սկանդինավիա 
Schools,Դպրոցներ 
Science basics,Գիտության հիմունքներ 
Science fiction and fantasy,Գիտաֆանտաստիկա և ֆանտազիա
Scorpaeniformes,
Scotland,Շոտլանդիա
Scrabble 1/1,Սկրեբլ
Sculptors,Քանդակագործներ 
Sculpture,Քանդակ
Seabed,Օվկիանոսի հատակ
Seasons,Եղանակներ
SEC,Արժեթղթերի և փոխանակման հանձնաժողով
Second-degree relatives,Երկրորդ կարգի հարազատներ
Securities,Արժեթղթեր
Sedimentology,Ողողատագիտություն
Seismology,Երկրաշարժագիտություն
Senegal,Սենեգալ
Separation processes,Առանձնացման գործընթաց
Sequences and series,Հաջորդականություններ և շարքեր
Serbia,Սերբիա
"Serbian, Croatian and Bosnian languages","Սերբերեն, խորվաթերեն և բոսնիերեն"
Services and institutions,Ծառայություններ և հաստատություններ
Set Theory,Բազմությունների տեսություն
Sex crimes,Սեռական հանցագործություններ
Sex work,Սեռական աշխատանք
Sexologists,Սեքսապաթոլոգներ 
Sexuality and gender,Սեռականություն և գենդեր
Shakespeare,Շեքսպիր
Sharks,Շնաձկներ
Sheep,Ոչխար
Shia Islam,Շիա իսլամ
Shikoku,Սիկոկու
Shinto,Սինտոիզմ
Shipping routes,Առաքման ուղիներ
Shogi 1/1,Սյոգի
Shooting sports,Հրաձգային սպորտ
Show tunes,Մյուզիքլի երգեր
Siberia,Սիբիր
Sideshow performers,Սայդշոու կատարողներ
Sierra Leone,Սիերա Լեոնե 
Sign language,Ժեստերի լեզու
Sikhism,Սիկհականություն
Siluriformes,Լոքոազգիներ
Singapore,Սինգապուր
Singers,Երգիչներ
Sino-Tibetan languages,Սինատիբեթյան լեզուներ
Sirenia,Ծովավիշապ
Skateboarding,Սքեյթբորդ
Skating,Սքեյթինգ
Skeleton,Կմախք
Skydiving and BASE jumping,Սկայդայվինգ և բեյսջամփինգ
Slavic languages,Սլավոնական լեզուներ
Slovakia,Սլովակիա
Snakes,Օձեր
Snooker,Սնուկեր
Social classes,Դասակարգային կառուցվածք
Social scientists,Հասարակական գիտություններ
Social status,Սոցիալական կարգավիճակ
Socialites,Հասարակություններ
Societal adaptations,Հասարակական հարմարվողականություններ
Society,Հասարակություն
Sociologists,Սոցիոլոգներ
Sociology,Սոցիոլոգիա
Softball,Սոֆթբոլ
Software development,Ծրագրային ապահովման մշակում 
Soil and Soil management,Հող և հողի կառավարում
Soil mechanics,Գրունտների մեխանիկա
Solanales,Մորմածաղկավորներ
Solar System,Արեգակնային համակարգ
Solid angle,Մարմնային անկյուն
Solid mechanics,Հոծ միջավայրի մեխանիկա
Solomon Islands,Սողոմոնյան Կղզիներ
Somalia,Սոմալի
Somalia (2 articles,Սոմալի
Soricomorpha,Սրնչականմաններ
Sound change and alternation,Ձայնի փոփոխություն և հնչյունափոխություն
Sources of law,Իրավունքի աղբյուրներ
South,Հարավ
South Africa,Հարավային Աֆրիկա
South Africa,Հարավային Աֆրիկա
South America,Հարավային Ամերիկա
South Asia,Հարավային Ասիա
South Central China,Հարավկենտրոնական Չինաստան
South Korea,Հարավային Կորեա
South Korea,Հարավային Կորեա
Southeast Asia,Հարավարևելյան Ասիա
Southeastern Asia,Հարավարևելյան Ասիա
Southeastern Europe,Հարավարևելյան Եվրոպա
Southern Africa,Հարավային Աֆրիկա
Southern and Central Africa,Հարավային և Կենտրոնական Աֆրիկա
Southern Asia,Հարավային Ասիա
Southern Europe,Հարավային Եվրոպա
Southern India,Հարավային Հնդկաստան
Southwest China,Հարավարևմտյան Չինաստան
Soviet Union,Խորհրդային Միություն
Soviet Union/Russia,Խորհրդային Միություն/Ռուսաստան
Space travelers,Տիեզերական ճանապարհորդներ
Space-based observatories,Տիեզերական աստղադիտարաններ
Spain,Իսպանիա
Spain,Իսպանիա
Spain and Portugal,Իսպանիա և Պորտուգալիա
Spanish,Իսպաներեն
Specific,Հատուկ
Specific aircraft,Հատուկ ինքնաթիռ
Specific alloys,Հատուկ համաձուլվածքներ
Specific amusement parks,Հատուկ զվարճանքի այգիներ
Specific computers,Հատուկ համակարգիչներ
Specific courts,Հատուկ դատարաններ
Specific currencies,Հատուկ արժույթներ
Specific films,Հատուկ ֆիլմեր
Specific firearms,Հատուկ հրազեն
Specific functions,Հատուկ գործառույթներ
Specific holidays,Հատուկ տոներ
Specific infrastructure,Հատոուկ ենթակառուցվածքներ
Specific intensity,Հատուկ ինտենսիվություն
Specific languages,Հատուկ լեզուներ
Specific magazines,Հատուկ ամսագրեր
Specific musical works,Հատուկ երաժշտական աշխատանքներ
"Specific periods, centuries, eras, and movements","Հատուկ ժամանակաշրջան, հարյուրամյակ, դարաշրջան և շարժումներ"
Specific structures,Հատուկ կառուցվածքներ
Specific video games and series,Հատուկ վիդեո խաղեր և սերիաներ
Specific works of literature,Հատուկ գրական աշխատանքներ
Specific works of visual art,Հատուկ կերպարվեստի աշխատանքներ
Speculative fiction,Մտահայեցողական գեղարվեստական գրականություն
Speed,Արագություն
Speed skating,Արագ չմշկասահք
Speedcubing,Սպիդկուբինգ
Speedrun,Խաղի արագընթաց անցում
Spelling,Ուղղագրություն
Sphenisciformes,Պինգվինանմաններ
Sports,Սպորտաձևեր
Sports,Սպորտաձևեր
"Sports business-people, coaches, and referees (150/150 quota)","Սպորտային գործարարներ, մարզիչներ և մրցավարներ (150/150 մաս)"
Sports entertainers,Սպորտային զվարճանքներ
Sports equipment,Սպորտային սարքավորումներ
"Sports journalists, commentators and sports announcers","Սպորտային լրագրողներ, մեկնաբաններ և սպորտային հաղորդավարներ"
Sports leagues,Սպորտային լիգաներ
Sports organizations,Սպորտային կազմակերպություններ
Sports teams,Սպորտային հավաքականներ
Squash,Սքվոշ
Sri Lanka,Շրի Լանկա
Stagecraft,Բեմական արվեստ
Stages of life,Կյանքի փուլեր
State structure and administration,Պետական կառուցվածք և կառավարում
State-like entities,Պետական կազմակերպություններ
States,Պետություններ
States of matter,Ագրեգատային վիճակ
Statistical mechanics,Վիճակագրական մեխանիկա
Statistics and probability,Վիճակագրություն և հավանականություն
Statutory law,Կանոնադրական օրենք
Stellar astronomy,Աստղային աստղագիտություն
Stepfamily,Խորթ ընտանիք
Steroids,Ստերոիդներ
Stomiiformes,
Stone fruits,Կորիզավոր մրգեր
Storms,Փոթորիկ
Straits,Նեղուցներ
Stratigraphy,Շերտագրություն (Երկրաբանություն)
Street art,Փողոցային արվեստ
Strength based sports,Ուժային սպորտաձևեր
Strepsirrhini,Կիսակապիկներ
Strigiformes,Բվանմաններ
String instruments,Լարային գործիքներ
Structural geology,Կառուցվածքային երկրաբանություն
Stunt performers and pranksters,Հնարք կատարողներ և պրանկերներ
Styles,Ոճեր
Subatomic particles,Ներատոմային մասնիկներ
Subjects,Առարկաներ
Sudan,Սուդան
Sufism,Սուֆիզմ
Sulawesi,Սուլավես
Sumatra,Սումատրա
Sumer,Շումեր
Summer Olympics,Ամառային Օլիմպիական խաղեր
Sumo,Սումո
Sunni Islam,Սուննի իսլամ
Superhero media,Սուպերհերոսների լրատվամիջոցներ
Superhero movies,Սուպերհերոսների ֆիլմեր
Surfing,Սերֆինգ
Suriname,Սուրինամ
Sweden,Շվեդիա
Sweden,Շվեդիա
Swedish,Շվեդերեն
Swimming,Լող
Swimming (20/20 quota),Լող (20/20 մաս)
Switzerland,Շվեյցարիա
Switzerland,Շվեյցարիա
Swords,Թրեր
Symptoms and signs,Ախտանիշներ և նշաններ
Syngnathiformes,
Syracuse,Սիրակուզա
Syria,Սիրիա
Table tennis,Սեղանի թենիս
Tabletop games,Սեղանի խաղեր
Tagalog and other Filipino languages,Թանգալերեն և այլ Ֆիլիպինյան լեզուներ
Tahiti,Տահիտի
Taiwan,Թայվան
Tajikistan,Տաջիկստան
Tanzania,Տանզանիա
Taoism,Դաոսականություն
Tattooists,Դաջվածքների արտիստ
Taxation,Հարկում
Team sports,Թիմային սպորտաձևեր
Techniques,Տեխնիկա
Tectonic plates,Սալերի տեկտոնիկա
Tectonics,Տեկտոնիկա
Television,Հեռուստատեսություն
Television,Հեռուստատեսություն
Television by country,Հեռուստատեսությունը ըստ երկրների
Television hosts and personalities,Հեռուստահաղորդավարներ և անձնակազմ
Television networks and channels,Հեռուստատեսային ցանցեր և ալիքներ
Television programs,Հեռուստահաղորդումներ
Temperature,Ջերմաստիճան
Tennis,Թենիս
Tennis (50/50 quota),Թենիս (50/50 քվոտա)
Terminology,Տերմինաբանություն
Terms,
Territories,Տարածքներ
Terrorism,Ահաբեկչություն
Tetraodontiformes,Ձուլածնոտայիններ
Textile designers,Տեքստիլային դիզայներներ
Textiles,Տեքստիլային գործվածք
Texts,Տեքստեր
Thai,Թաիլանդերեն
Thai Buddhism,Բուդդայակնությունը Թաիլանդում
Thailand,Թաիլանդ
The Bahamas,Բահամյան կղզիներ
Theatre,Թատրոն
Theistic philosophies,Թեիզմ
Theology,Աստվածաբանություն
Theoretical computer science,Տեսական ինֆորմատիկա
Thermodynamics,Ջերմադինամիկա
THESE NEED TO BE MOVED TO BIOLOGY,
"Thievery, robbery and hijacking","Գողություն, կողոպուտ և առևանգում"
Third-degree relatives,Երրորդ կարգի հարազատներ
Three-dimensional space,Եռաչափ տարածություն
Tibetan Buddhism,Տիբեթական բուդդայականություն
Time,Ժամանակ
Tinamiformes,
Tissues,Հյուսվածքներ
Titles,Անուններ
Tōhoku,Տոհոկու
Tonga,Տոնգա
Tools,Գործիքներ
Topology,Տոպոլոգիա
Torque,Ուժի մոմենտ
Toys,Խաղալիքներ
Track and Field,
Tradespeople,Վաճառականներ
Traditional music,Ավանդական երաժշտություն
Traditions,Ավանդույթներ
Transport,Տրանսպորտ
Transport,Տրանսպորտ
Transport infrastructure,Տրանսպորտային ենթակառուցվածքներ
Transportation,Փոխադրում
Trees and Forestry,Ծառեր և անտառաբուծություն
Trinidad and Tobago,Տրինիդադ և Տոբագո
Trogoniformes,
Tropical and tropical-like fruit,Արևադարձային մրգեր
TU9,ՏՀ9
Tug of war,Պարանի ձգում
Tunicata,Պարեգոտավորներ
Tunisia,Թունիս
Tunnels,Գետնուղիներ
Turkey,Թուրքիա
Turkey,Թուրքիա
Turkeys,Հնդկահավեր
Turkic languages,Թյուրքական լեզուներ
Turkish,Թուրքերեն
Turtles,Կրիաներ
Two-dimensional space,Երկչափ տարածություն
Typeface designers,Տիպոգրաֆիկայի դիզայներներ
Types of games,Խաղերի տեսակներ
Tyranni,Տիրան
U15,Մ-15
Uganda,Ուգանդա
UK and Ireland,Մեծ Բրիտանիա և Իռլանդիա
Ukraine,Ուկրաինա
Ukrainian,Ուկրաիներեն
Underwear,Ներքնազգեստ
Unified Germany,Միասնական Գերմանիա
United Arab Emirates,Արաբական Միացյալ Էմիրություններ
United Kingdom,Միացյալ Թագավորություն
United Kingdom,Միացյալ Թագավորություն
United Nations,Միավորված ազգերի կազմակերպություն
United States,Միացյալ Նահանգներ
United States,Միացյալ Նահանգներ
Units of measurement,Չափման միավորներ
University systems,Համալսարանական համակարգեր
Unmanned spacecraft,Անօդաչու տիեզերանավ
"Unrecognized or largely unrecognized states, and disputed regions",Չճանաչված կամ հիմնականում չճանաչված պետություններ և վիճելի տարածքներ
Uralic languages,Ուրալյան լեզուներ
Urban planners and landscape architects,Քաղաքային և լանդշաֆտային ճարտարապետներ
Urban studies and planning,Քաղաքների պլանավորում
Urinary system,Արտազատական համակարգ
US and Canada,ԱՄՆ և Կանադա
User interface,Օգտագործողի ինտերֆեյս
Utility software,Ծրագրակազմ
Vaccines,Պատվաստանյութ
Vanuatu,Վանուատու
"Vaudeville, minstrelsy, music hall and chorus performers","Վոդևիլի, մենեստրելի, խոռի կատարողներ"
Vegetables,Բանջարեղեն
Venezuela,Վենեսուելա
Victims,Զոհեր
Video games,Համակարգչային խաղեր
Vietnam,Վիետնամ
Vietnamese,Վիետնամերեն
Villains,Չարագործներ
Violinists,Ջութակահարներ
Visayas,Վիսարյան կղզիներ
Viscosity,Մածուցիկություն
Visual artists (800/800 article quota),
Vocabulary,Բառապաշար
"Voice actors, radio announcers and narrators","Հնչյունավորողներ, ռադիոհաղորդավարներ և պատմիչներ"
Volcanology,Հրաբխագիտություն
Volleyball,Վոլեյբոլ
Volume,Ծավալ
Volumetric flow rate,Ծավալային հոսք
Wales,Ուելս
War,Պատերազմ
War and military,Պատերազմ և բանակ
War novels,Պատերազմական վեպեր
Warfare by type,Ռազմական գործողություններ ըստ տեսակի
Warlord Era,Միլիտարական դարաշրջան
Wars by type,Պատերազմներ ըստ տեսակի
Water,Ջուր
Water polo,Ջրագնդակ
Water sports,Ջրային սպորտաձևեր
Water sports,Ջրային սպորտաձևեր
Waterfalls,Ջրվեժներ
Watersheds,Ջրբաժաններ
Waves,Ալիքներ
Weapon of mass destruction,Զանգվածային ոչնչացման զենք
Web journalists,Հմացանցային լրագրողներ
Webcomics,Համացանցային կոմիքսներ
Websites,Կայքեր
West,Արևմուտք
West Africa,Արևմտյան Աֆրիկա
West Asia,Արևմտյան Ասիա
West Germany,Արևմտյան Գերմանիա
Western,Արևմտյան
Western Africa,Արևմտյան Աֆրիկա
Western art music,Արևմտյան երաժշտություն
Western Asia,Արևմտյան Ասիա
Western classical music,Արևմտյան դասական երաժշտություն
Western esotericism and new religious movements,Արևմտյան էզոթերիզմ և նոր կրոնական ուղղություններ
Western Europe,Արևմտյան Եվրոպա
Western folklore,Արևմտյան մշակույթ
Western India,Արևմտյան Հնդկաստան
Wetlands,Ջրաճահճային տարածքներ
White collar crime,«Սպիտակ օձիքավոր» հանցագործություն
Wind instruments,Փողային երաժշտական գործիքներ
Winds,Քամիներ
Winter Olympics,Ձմեռային Օլիմպիական խաղեր
Winter sports,Ձմեռային սպորտաձևեր
World music,Համաշխարհային երաժշտություն
World War II,Երկրորդ համաշխարհային պատերազմ
Wrestling,Ըմբշամարտ
Xiangqi 1/1,Սյանցի 1/1
Yemen,Եմեն
Zambia,Զամբիա
Zimbabwe,Զիմբաբվե
Zingiberales,Կոճապղպեղածաղկավորներ
Zoology,Կենդանաբանություն
Zoroastrianism,Զրադաշտականություն
"Journalists: General","Լրագրողներ, ընդհանուր"
"Sports journalists, commentators and sports announcers","Սպորտային լրագրողներ, մեկնաբաններ և սպորտային հաղորդավարներ"
Painters,Նկարիչներ
Late modern era,Ուշ մոդեռն շրջան
"Cartoonists, comics artists, illustrators, manga artists and animators","Ծաղրանկարիչներ, կոմիքսների նկարիչներ, նկարազարդողներ, մանգա նկարիչներ և անիմատորներ"
"Designers: General","Դիզայներ, ընդհանուր"
"Contemporary art: General","Ժամանակակից արվետ, ընդհանուր"
Cambodian,Կամբոջա
